"acceptance_id","feature_ids","given","when","then","test_case_id","covered"
"AT-01","F-01","销售已登录且有负责商机","打开APP首页","KPI与待办列表渲染且可跳转详情","","pending"
"AT-02","F-02","销售角色数据权限为SELF","查询客户列表","仅返回本人负责客户","","pending"
"AT-03","F-03","公海池有待领取线索","销售执行领取","负责人更新成功并产生通知","","pending"
"AT-04","F-04","客户已有主联系人","设置另一联系人为主联系人","原主联系人自动取消且仅一名主联系人","","pending"
"AT-05","F-05","商机处于阶段A且规则允许","切换至阶段B","阶段更新且活动时间线新增记录","","pending"
"AT-06","F-06","用户在客户详情页","提交快速跟进","活动记录入库并出现在时间线","","pending"
"AT-07","F-07","赢单商机存在","登记合同","合同与商机关联成功","","pending"
"AT-08","F-08","客户有跟进与商机行为","查看意向评分","展示分数等级及Top3影响因子","","pending"
"AT-09","F-09","用户在客户详情","唤起AI助手生成话术","返回可复制内容且记录采纳状态","","pending"
"AT-10","F-10","存在超期未跟进商机","查看AI建议","可采纳或忽略并更新建议状态","","pending"
"AT-11","F-11","团队有历史商机数据","打开销售预测","展示预测区间与关键假设","","pending"
"AT-12","F-12","知识库有FAQ条目","APP发起问答","返回答案并附带引用来源","","pending"
"AT-13","F-13","客服收到工单","处理并关闭","工单状态闭环且客户时间线可见","","pending"
"AT-14","F-14","上传清晰名片图片","执行OCR识别","姓名手机公司等字段预填可编辑","","pending"
"AT-15","F-15","用户有本周业务数据","打开简报","核心指标与迷你漏斗展示正确","","pending"
"AT-16","F-16","用户修改推送开关","保存设置","设置持久化且推送行为随之变化","","pending"
"AT-17","F-17","收到跟进提醒推送","点击通知","APP直达对应商机详情页","","pending"
"AT-18","F-18","执行APP双端构建","安装并启动","登录后核心Tab页面可访问","","pending"
"AT-19","F-19","管理员上传合法导入模板","执行导入","生成成功失败统计且可下载错误明细","","pending"
"AT-20","F-20","管理员创建销售账号","该用户APP登录","仅访问权限范围内业务数据","","pending"
"AT-21","F-21","执行 build:ai-smart-crm-admin","浏览器独立访问管理台","登录后仪表盘页面正常渲染","","pending"
"AT-22","F-21","主应用 npm run dev 且 validate:sub-app-registry 通过","应用中心进入或访问 /ai-smart-crm-admin/dashboard","嵌入主应用顶栏下侧栏与仪表盘正常；首页应用数量为 3","","pending"
